miRNA	Gene		context_score	weighted_score
mmu-miR-140-5p	ENSG00000114166	KAT2B	0.305	0.305
mmu-miR-140-5p	ENSG00000114416	FXR1	0.292	0.292
mmu-miR-140-5p	ENSG00000114739	ACVR2B	0.078	0.035
mmu-miR-140-5p	ENSG00000115461	IGFBP5	0.507	0.217
mmu-miR-140-5p	ENSG00000115760	BIRC6	0.114	0.114
mmu-miR-140-5p	ENSG00000115808	STRN	0.091	0.003
mmu-miR-140-5p	ENSG00000116128	BCL9	0.197	0.175
mmu-miR-140-5p	ENSG00000116981	NT5C1A	0.158	0.158
mmu-miR-140-5p	ENSG00000116985	BMP8B	0.127	0.127
mmu-miR-140-5p	ENSG00000117394	SLC2A1	0.273	0.27
mmu-miR-140-5p	ENSG00000117601	SERPINC1	0.287	0
mmu-miR-140-5p	ENSG00000119138	KLF9	0.249	0.216
mmu-miR-140-5p	ENSG00000119314	PTBP3	0.214	0.19
mmu-miR-140-5p	ENSG00000119608	PROX2	0.252	0.252
mmu-miR-140-5p	ENSG00000119844	AFTPH	0.266	0.266
mmu-miR-140-5p	ENSG00000119906	SLF2	0.267	0.141
mmu-miR-140-5p	ENSG00000122877	EGR2	0.587	0.587
mmu-miR-140-5p	ENSG00000122912	SLC25A16	0.26	0.09
mmu-miR-140-5p	ENSG00000123600	METTL8	0.187	0.013
mmu-miR-140-5p	ENSG00000123636	BAZ2B	0.116	0
mmu-miR-140-5p	ENSG00000124208	PEDS1-UBE2V1	0.167	0.167
mmu-miR-140-5p	ENSG00000124766	SOX4	0.195	0.001
mmu-miR-140-5p	ENSG00000125084	WNT1	0.228	0
mmu-miR-140-5p	ENSG00000125170	DOK4	0.251	0.136
mmu-miR-140-5p	ENSG00000125845	BMP2	0.372	0.372
mmu-miR-140-5p	ENSG00000126351	THRA	0.085	0.085
mmu-miR-140-5p	ENSG00000126562	WNK4	0.186	0.147
mmu-miR-140-5p	ENSG00000126775	ATG14	0.223	0.041
mmu-miR-140-5p	ENSG00000126822	PLEKHG3	0.136	0.007
mmu-miR-140-5p	ENSG00000127314	RAP1B	0.222	0.222
mmu-miR-140-5p	ENSG00000127445	PIN1	0.171	0.001
mmu-miR-140-5p	ENSG00000128573	FOXP2	0.194	0.194
mmu-miR-140-5p	ENSG00000128595	CALU	0.21	0.192
mmu-miR-140-5p	ENSG00000128872	TMOD2	0.224	0.196
mmu-miR-140-5p	ENSG00000129451	KLK10	0.293	0.293
mmu-miR-140-5p	ENSG00000129473	BCL2L2	0.239	0.236
mmu-miR-140-5p	ENSG00000130449	ZSWIM6	0.183	0.177
mmu-miR-140-5p	ENSG00000131051	RBM39	0.28	0.02
mmu-miR-140-5p	ENSG00000131389	SLC6A6	0.146	0.141
mmu-miR-140-5p	ENSG00000131446	MGAT1	0.196	0.196
mmu-miR-140-5p	ENSG00000132964	CDK8	0.135	0.135
mmu-miR-140-5p	ENSG00000133019	CHRM3	0.15	0.032
mmu-miR-140-5p	ENSG00000134152	KATNBL1	0.774	0.774
mmu-miR-140-5p	ENSG00000134294	SLC38A2	0.215	0.113
mmu-miR-140-5p	ENSG00000134569	LRP4	0.395	0.395
mmu-miR-140-5p	ENSG00000134769	DTNA	0.219	0.215
mmu-miR-140-5p	ENSG00000134853	PDGFRA	0.237	0.237
mmu-miR-140-5p	ENSG00000135045	C9orf40	0.394	0.003
mmu-miR-140-5p	ENSG00000135334	AKIRIN2	0.229	0.229
mmu-miR-140-5p	ENSG00000135870	RC3H1	0.1	0.1
mmu-miR-140-5p	ENSG00000135953	MFSD9	0.096	0.04
mmu-miR-140-5p	ENSG00000136238	RAC1	0.494	0.476
mmu-miR-140-5p	ENSG00000136295	TTYH3	0.168	0.168
mmu-miR-140-5p	ENSG00000136451	VEZF1	0.392	0.381
mmu-miR-140-5p	ENSG00000136828	RALGPS1	0.192	0.165
mmu-miR-140-5p	ENSG00000136943	CTSV	0.322	0.009
mmu-miR-140-5p	ENSG00000137573	SULF1	0.132	0.132
mmu-miR-140-5p	ENSG00000137845	ADAM10	0.222	0.203
mmu-miR-140-5p	ENSG00000138297	#N/A	0.323	0.001
mmu-miR-140-5p	ENSG00000138606	SHF	0.132	0.132
mmu-miR-140-5p	ENSG00000138756	BMP2K	0.162	0.157
mmu-miR-140-5p	ENSG00000138759	FRAS1	0.039	0.039
mmu-miR-140-5p	ENSG00000138771	SHROOM3	0.125	0.058
mmu-miR-140-5p	ENSG00000138829	FBN2	0.055	0.051
mmu-miR-140-5p	ENSG00000138867	GUCD1	0.41	0.409
mmu-miR-140-5p	ENSG00000139496	NUP58	0.194	0.194
mmu-miR-140-5p	ENSG00000139625	MAP3K12	0.249	0.101
mmu-miR-140-5p	ENSG00000139645	ANKRD52	0.161	0.16
mmu-miR-140-5p	ENSG00000139737	SLAIN1	0.458	0.458
mmu-miR-140-5p	ENSG00000140443	IGF1R	0.02	0.014
mmu-miR-140-5p	ENSG00000140548	ZNF710	0.122	0.122
mmu-miR-140-5p	ENSG00000140937	CDH11	0.298	0.298
mmu-miR-140-5p	ENSG00000141540	TTYH2	0.35	0.292
mmu-miR-140-5p	ENSG00000141639	MAPK4	0.078	0.078
mmu-miR-140-5p	ENSG00000143061	IGSF3	0.142	0.088
mmu-miR-140-5p	ENSG00000143147	GPR161	0.385	0.384
mmu-miR-140-5p	ENSG00000143355	LHX9	0.159	0.159
mmu-miR-140-5p	ENSG00000143376	SNX27	0.188	0.188
mmu-miR-140-5p	ENSG00000143816	WNT9A	0.414	0.414
mmu-miR-140-5p	ENSG00000145555	MYO10	0.197	0
mmu-miR-140-5p	ENSG00000145740	SLC30A5	0.323	0.102
mmu-miR-140-5p	ENSG00000146676	PURB	0.202	0.089
mmu-miR-140-5p	ENSG00000147164	SNX12	0.382	0.382
mmu-miR-140-5p	ENSG00000147324	MFHAS1	0.187	0.139
mmu-miR-140-5p	ENSG00000148358	GPR107	0.212	0.209
mmu-miR-140-5p	ENSG00000149187	CELF1	0.255	0.215
mmu-miR-140-5p	ENSG00000149485	FADS1	0.092	0.003
mmu-miR-140-5p	ENSG00000149657	LSM14B	0.293	0.257
mmu-miR-140-5p	ENSG00000150433	TMEM218	0.281	0.281
mmu-miR-140-5p	ENSG00000151067	CACNA1C	0.165	0.113
mmu-miR-140-5p	ENSG00000151338	MIPOL1	0.35	0.35
mmu-miR-140-5p	ENSG00000151612	ZNF827	0.065	0.065
mmu-miR-140-5p	ENSG00000152558	TMEM123	0.338	0.33
mmu-miR-140-5p	ENSG00000153936	HS2ST1	0.257	0.132
mmu-miR-140-5p	ENSG00000154274	C4orf19	0.318	0.036
mmu-miR-140-5p	ENSG00000154736	ADAMTS5	0.308	0.289
mmu-miR-140-5p	ENSG00000155304	HSPA13	0.263	0.003
mmu-miR-140-5p	ENSG00000155545	MIER3	0.214	0.204
mmu-miR-140-5p	ENSG00000155903	RASA2	0.048	0.048
mmu-miR-140-5p	ENSG00000156273	BACH1	0.264	0.198
mmu-miR-140-5p	ENSG00000156531	PHF6	0.129	0.129
mmu-miR-140-5p	ENSG00000156875	MFSD14A	0.263	0.263
mmu-miR-140-5p	ENSG00000157613	CREB3L1	0.269	0.269
mmu-miR-140-5p	ENSG00000157654	PALM2AKAP2	0.224	0.221
mmu-miR-140-5p	ENSG00000158008	EXTL1	0.175	0.119
mmu-miR-140-5p	ENSG00000158528	PPP1R9A	0.163	0.095
mmu-miR-140-5p	ENSG00000160097	FNDC5	0.384	0.001
mmu-miR-140-5p	ENSG00000160570	DEDD2	0.289	0.289
mmu-miR-140-5p	ENSG00000162298	SYVN1	0.155	0.151
mmu-miR-140-5p	ENSG00000162545	CAMK2N1	0.3	0.299
mmu-miR-140-5p	ENSG00000162695	SLC30A7	0.203	0.203
mmu-miR-140-5p	ENSG00000162702	ZNF281	0.241	0.18
mmu-miR-140-5p	ENSG00000162706	CADM3	0.131	0.131
mmu-miR-140-5p	ENSG00000162736	NCSTN	0.482	0.482
mmu-miR-140-5p	ENSG00000163249	CCNYL1	0.24	0.24
mmu-miR-140-5p	ENSG00000163681	SLMAP	0.204	0.17
mmu-miR-140-5p	ENSG00000163939	PBRM1	0.073	0.073
mmu-miR-140-5p	ENSG00000164080	RAD54L2	0.155	0.155
mmu-miR-140-5p	ENSG00000164093	PITX2	0.283	0.283
mmu-miR-140-5p	ENSG00000164107	HAND2	0.363	0.353
mmu-miR-140-5p	ENSG00000164398	ACSL6	0.145	0.145
mmu-miR-140-5p	ENSG00000164604	GPR85	0.136	0.136
mmu-miR-140-5p	ENSG00000165029	ABCA1	0.104	0.099
mmu-miR-140-5p	ENSG00000165156	ZHX1	0.153	0.153
mmu-miR-140-5p	ENSG00000165548	TMEM63C	0.15	0.15
mmu-miR-140-5p	ENSG00000165566	AMER2	0.146	0.146
mmu-miR-140-5p	ENSG00000165660	ABRAXAS2	0.327	0.008
mmu-miR-140-5p	ENSG00000166068	SPRED1	0.252	0.064
mmu-miR-140-5p	ENSG00000166147	FBN1	0.202	0.202
mmu-miR-140-5p	ENSG00000166272	WBP1L	0.065	0.065
mmu-miR-140-5p	ENSG00000166444	DENND2B	0.291	0.15
mmu-miR-140-5p	ENSG00000167106	FAM102A	0.317	0.317
mmu-miR-140-5p	ENSG00000168092	PAFAH1B2	0.47	0.15
mmu-miR-140-5p	ENSG00000168385	SEPTIN2	0.49	0.469
mmu-miR-140-5p	ENSG00000168496	FEN1	0.291	0.291
mmu-miR-140-5p	ENSG00000168615	ADAM9	0.292	0.277
mmu-miR-140-5p	ENSG00000168970	JMJD7-PLA2G4B	0.209	0.209
mmu-miR-140-5p	ENSG00000169306	IL1RAPL1	0.133	0.133
mmu-miR-140-5p	ENSG00000169991	IFFO2	0.133	0.112
mmu-miR-140-5p	ENSG00000170027	YWHAG	0.202	0.202
mmu-miR-140-5p	ENSG00000170802	FOXN2	0.138	0.138
mmu-miR-140-5p	ENSG00000170852	KBTBD2	0.323	0.308
mmu-miR-140-5p	ENSG00000170989	S1PR1	0.165	0.001
mmu-miR-140-5p	ENSG00000171109	MFN1	0.408	0.313
mmu-miR-140-5p	ENSG00000171385	KCND3	0.053	0.053
mmu-miR-140-5p	ENSG00000171552	BCL2L1	0.429	0.429
mmu-miR-140-5p	ENSG00000171885	AQP4	0.121	0.093
mmu-miR-140-5p	ENSG00000173402	DAG1	0.121	0.091
mmu-miR-140-5p	ENSG00000173418	NAA20	0.262	0.001
mmu-miR-140-5p	ENSG00000173706	HEG1	0.243	0.243
mmu-miR-140-5p	ENSG00000174111	#N/A	0.103	0.01
mmu-miR-140-5p	ENSG00000174136	RGMB	0.322	0.257
mmu-miR-140-5p	ENSG00000174233	ADCY6	0.163	0.163
mmu-miR-140-5p	ENSG00000174684	B4GAT1	0.227	0.227
mmu-miR-140-5p	ENSG00000175073	VCPIP1	0.208	0.164
mmu-miR-140-5p	ENSG00000175087	PDIK1L	0.145	0.145
mmu-miR-140-5p	ENSG00000175497	DPP10	0.248	0.248
mmu-miR-140-5p	ENSG00000176018	LYSMD3	0.253	0.093
mmu-miR-140-5p	ENSG00000176105	YES1	0.326	0.326
mmu-miR-140-5p	ENSG00000177189	RPS6KA3	0.16	0.025
mmu-miR-140-5p	ENSG00000178951	ZBTB7A	0.387	0.259
mmu-miR-140-5p	ENSG00000180776	ZDHHC20	0.215	0.215
mmu-miR-140-5p	ENSG00000181350	LRRC75A	0.261	0.122
mmu-miR-140-5p	ENSG00000181495	#N/A	0.556	0.556
mmu-miR-140-5p	ENSG00000181827	RFX7	0.192	0.192
mmu-miR-140-5p	ENSG00000181873	IBA57	0.271	0.019
mmu-miR-140-5p	ENSG00000182512	GLRX5	0.323	0.323
mmu-miR-140-5p	ENSG00000183530	PRR14L	0.055	0.055
mmu-miR-140-5p	ENSG00000183682	BMP8A	0.088	0.053
mmu-miR-140-5p	ENSG00000183691	NOG	0.801	0.407
mmu-miR-140-5p	ENSG00000184489	PTP4A3	0.266	0.204
mmu-miR-140-5p	ENSG00000184675	AMER1	0.1	0.076
mmu-miR-140-5p	ENSG00000185070	FLRT2	0.201	0.182
mmu-miR-140-5p	ENSG00000185252	ZNF74	0.185	0.008
mmu-miR-140-5p	ENSG00000185305	ARL15	0.263	0.237
mmu-miR-140-5p	ENSG00000185483	ROR1	0.233	0.233
mmu-miR-140-5p	ENSG00000186298	PPP1CC	0.294	0.289
mmu-miR-140-5p	ENSG00000187079	TEAD1	0.124	0.121
mmu-miR-140-5p	ENSG00000187097	ENTPD5	0.239	0.239
mmu-miR-140-5p	ENSG00000187391	MAGI2	0.14	0.125
mmu-miR-140-5p	ENSG00000187672	ERC2	0.355	0.355
mmu-miR-140-5p	ENSG00000187678	SPRY4	0.203	0.166
mmu-miR-140-5p	ENSG00000188215	DCUN1D3	0.283	0.173
mmu-miR-140-5p	ENSG00000188735	TMEM120B	0.02	0.002
mmu-miR-140-5p	ENSG00000196233	LCOR	0.46	0.28
mmu-miR-140-5p	ENSG00000196428	TSC22D2	0.288	0.287
mmu-miR-140-5p	ENSG00000196470	SIAH1	0.346	0.346
mmu-miR-140-5p	ENSG00000196850	PPTC7	0.166	0.166
mmu-miR-140-5p	ENSG00000197959	DNM3	0.105	0.105
mmu-miR-140-5p	ENSG00000198740	ZNF652	0.211	0
mmu-miR-140-5p	ENSG00000198807	PAX9	0.292	0.247
mmu-miR-140-5p	ENSG00000198873	GRK5	0.184	0.003
mmu-miR-140-5p	ENSG00000198920	KIAA0753	0.099	0.007
mmu-miR-140-5p	ENSG00000204070	SYS1	0.318	0.27
mmu-miR-140-5p	ENSG00000204120	GIGYF2	0.143	0.019
mmu-miR-140-5p	ENSG00000205047	#N/A	0.629	0.629
mmu-miR-140-5p	ENSG00000205189	ZBTB10	0.192	0.192
mmu-miR-140-5p	ENSG00000205268	PDE7A	0.133	0.133
mmu-miR-140-5p	ENSG00000205302	SNX2	0.417	0.312
mmu-miR-140-5p	ENSG00000205339	IPO7	0.392	0.39
mmu-miR-140-5p	ENSG00000205476	CCDC85C	0.215	0.026
mmu-miR-140-5p	ENSG00000206203	TSSK2	0.897	0.897
mmu-miR-140-5p	ENSG00000215183	MSMP	0.792	0.792
mmu-miR-140-5p	ENSG00000240849	PEDS1	0.166	0.166
mmu-miR-140-5p	ENSG00000241978	#N/A	0.231	0.228
mmu-miR-140-5p	ENSG00000243156	MICAL3	0.256	0.249
mmu-miR-140-5p	ENSG00000244687	UBE2V1	0.203	0.203
mmu-miR-140-5p	ENSG00000260903	XKR7	0.07	0.07
mmu-miR-140-5p	ENSG00000268926	ENSG00000268926	0.571	0.571
mmu-miR-149-5p	ENSG00000003056	M6PR	0.165	0.165
mmu-miR-149-5p	ENSG00000004142	POLDIP2	0.306	0.218
mmu-miR-149-5p	ENSG00000004776	HSPB6	0.065	0.065
mmu-miR-149-5p	ENSG00000005981	ASB4	0.38	0.38
mmu-miR-149-5p	ENSG00000006453	BAIAP2L1	0.128	0.005
mmu-miR-149-5p	ENSG00000008441	NFIX	0.141	0.029
mmu-miR-149-5p	ENSG00000008853	RHOBTB2	0.124	0.09
mmu-miR-149-5p	ENSG00000010318	PHF7	0.145	0.078
mmu-miR-149-5p	ENSG00000011007	ELOA	0.25	0.01
mmu-miR-149-5p	ENSG00000011021	CLCN6	0.204	0.204
mmu-miR-149-5p	ENSG00000011347	SYT7	0.328	0.328
mmu-miR-149-5p	ENSG00000011451	WIZ	0.028	0.028
mmu-miR-149-5p	ENSG00000012061	ERCC1	0.394	0.001
mmu-miR-149-5p	ENSG00000012983	MAP4K5	0.277	0.04
mmu-miR-149-5p	ENSG00000013523	ANGEL1	0.052	0.002
mmu-miR-149-5p	ENSG00000019144	PHLDB1	0.233	0.185
mmu-miR-149-5p	ENSG00000020129	NCDN	0.02	0.02
mmu-miR-149-5p	ENSG00000023318	ERP44	0.083	0.002
mmu-miR-149-5p	ENSG00000025293	PHF20	0.289	0.289
mmu-miR-149-5p	ENSG00000028277	POU2F2	0.346	0.346
mmu-miR-149-5p	ENSG00000040199	PHLPP2	0.419	0.419
mmu-miR-149-5p	ENSG00000053438	NNAT	0.19	0.19
mmu-miR-149-5p	ENSG00000059758	CDK17	0.214	0.212
mmu-miR-149-5p	ENSG00000060642	PIGV	0.154	0.026
mmu-miR-149-5p	ENSG00000063046	EIF4B	0.013	0.013
mmu-miR-149-5p	ENSG00000064393	HIPK2	0.03	0.03
mmu-miR-149-5p	ENSG00000064692	SNCAIP	0.396	0.396
mmu-miR-149-5p	ENSG00000065491	TBC1D22B	0.248	0.248
mmu-miR-149-5p	ENSG00000068796	KIF2A	0.278	0.144
mmu-miR-149-5p	ENSG00000070367	EXOC5	0.055	0.055
mmu-miR-149-5p	ENSG00000070614	NDST1	0.138	0.138
mmu-miR-149-5p	ENSG00000072062	PRKACA	0.043	0.043
mmu-miR-149-5p	ENSG00000073282	TP63	0.166	0.166
mmu-miR-149-5p	ENSG00000074317	SNCB	0.256	0.256
mmu-miR-149-5p	ENSG00000075399	VPS9D1	0.276	0.276
mmu-miR-149-5p	ENSG00000076555	ACACB	0.081	0.074
mmu-miR-149-5p	ENSG00000077157	PPP1R12B	0.02	0.005
mmu-miR-149-5p	ENSG00000077264	PAK3	0.252	0.252
mmu-miR-149-5p	ENSG00000077782	FGFR1	0.075	0.075
mmu-miR-149-5p	ENSG00000078124	ACER3	0.188	0.182
mmu-miR-149-5p	ENSG00000078549	ADCYAP1R1	0.237	0.237
mmu-miR-149-5p	ENSG00000078699	CBFA2T2	0.132	0.08
mmu-miR-149-5p	ENSG00000083312	TNPO1	0.11	0.069
mmu-miR-149-5p	ENSG00000087274	ADD1	0.131	0.131
mmu-miR-149-5p	ENSG00000087586	AURKA	0.166	0.166
mmu-miR-149-5p	ENSG00000088367	EPB41L1	0.108	0.108
mmu-miR-149-5p	ENSG00000088448	ANKRD10	0.332	0.332
mmu-miR-149-5p	ENSG00000090006	LTBP4	0.277	0.277
mmu-miR-149-5p	ENSG00000091157	WDR7	0.083	0.001
mmu-miR-149-5p	ENSG00000091592	NLRP1	0.109	0.108
mmu-miR-149-5p	ENSG00000092108	SCFD1	0.679	0.679
mmu-miR-149-5p	ENSG00000092847	AGO1	0.027	0.027
mmu-miR-149-5p	ENSG00000094963	FMO2	0.089	0.089
mmu-miR-149-5p	ENSG00000095539	SEMA4G	0.186	0.186
mmu-miR-149-5p	ENSG00000096063	SRPK1	0.158	0.027
mmu-miR-149-5p	ENSG00000096070	BRPF3	0.299	0.299
mmu-miR-149-5p	ENSG00000099968	BCL2L13	0.01	0.01
mmu-miR-149-5p	ENSG00000100104	SRRD	0.197	0.055
mmu-miR-149-5p	ENSG00000100106	TRIOBP	0.02	0.01
mmu-miR-149-5p	ENSG00000100294	MCAT	0.165	0.165
mmu-miR-149-5p	ENSG00000100345	MYH9	0.01	0.001
mmu-miR-149-5p	ENSG00000100346	CACNA1I	0.044	0.044
mmu-miR-149-5p	ENSG00000100413	POLR3H	0.136	0.132
mmu-miR-149-5p	ENSG00000100439	ABHD4	0.031	0.031
mmu-miR-149-5p	ENSG00000100461	RBM23	0.241	0
mmu-miR-149-5p	ENSG00000100568	VTI1B	0.12	0.086
mmu-miR-149-5p	ENSG00000100664	EIF5	0.089	0.068
mmu-miR-149-5p	ENSG00000101019	UQCC1	0.121	0.004
mmu-miR-149-5p	ENSG00000101098	RIMS4	0.181	0.181
mmu-miR-149-5p	ENSG00000101236	RNF24	0.227	0.227
mmu-miR-149-5p	ENSG00000101311	FERMT1	0.236	0.211
mmu-miR-149-5p	ENSG00000101849	TBL1X	0.026	0.002
mmu-miR-149-5p	ENSG00000102096	PIM2	0.176	0.176
mmu-miR-149-5p	ENSG00000102287	GABRE	0.165	0.165
mmu-miR-149-5p	ENSG00000102317	RBM3	0.184	0.034
mmu-miR-149-5p	ENSG00000102349	KLF8	0.252	0.252
mmu-miR-149-5p	ENSG00000102858	MGRN1	0.163	0.163
mmu-miR-149-5p	ENSG00000103018	CYB5B	0.325	0.001
mmu-miR-149-5p	ENSG00000103021	CCDC113	0.148	0.148
mmu-miR-149-5p	ENSG00000103353	UBFD1	0.082	0.082
mmu-miR-149-5p	ENSG00000103415	HMOX2	0.23	0.04
mmu-miR-149-5p	ENSG00000104490	NCALD	0.421	0.421
mmu-miR-149-5p	ENSG00000104967	NOVA2	0.038	0.026
mmu-miR-149-5p	ENSG00000105327	BBC3	0.333	0.333
mmu-miR-149-5p	ENSG00000105516	DBP	0.183	0.03
mmu-miR-149-5p	ENSG00000105711	SCN1B	0.249	0.249
mmu-miR-149-5p	ENSG00000105778	AVL9	0.206	0.133
mmu-miR-149-5p	ENSG00000105810	CDK6	0.02	0.019
mmu-miR-149-5p	ENSG00000106086	PLEKHA8	0.102	0.095
mmu-miR-149-5p	ENSG00000106246	PTCD1	0.01	0.002
mmu-miR-149-5p	ENSG00000106771	TMEM245	0.149	0.138
mmu-miR-149-5p	ENSG00000107282	APBA1	0.161	0.161
mmu-miR-149-5p	ENSG00000107902	LHPP	0.187	0
mmu-miR-149-5p	ENSG00000107957	SH3PXD2A	0.025	0.021
mmu-miR-149-5p	ENSG00000108091	CCDC6	0.205	0.005
mmu-miR-149-5p	ENSG00000108107	RPL28	0.17	0.032
mmu-miR-149-5p	ENSG00000108219	TSPAN14	0.254	0.24
mmu-miR-149-5p	ENSG00000108262	GIT1	0.218	0.154
mmu-miR-149-5p	ENSG00000108312	UBTF	0.221	0.221
mmu-miR-149-5p	ENSG00000108439	PNPO	0.206	0.199
mmu-miR-149-5p	ENSG00000108848	LUC7L3	0.219	0.216
mmu-miR-149-5p	ENSG00000109062	SLC9A3R1	0.138	0.085
mmu-miR-149-5p	ENSG00000109956	B3GAT1	0.11	0.11
mmu-miR-149-5p	ENSG00000110063	DCPS	0.019	0.006
mmu-miR-149-5p	ENSG00000110169	HPX	0.129	0.115
mmu-miR-149-5p	ENSG00000110395	CBL	0.02	0.02
mmu-miR-149-5p	ENSG00000110400	NECTIN1	0.02	0.02
mmu-miR-149-5p	ENSG00000110713	NUP98	0.108	0.108
mmu-miR-149-5p	ENSG00000110906	KCTD10	0.127	0.127
mmu-miR-149-5p	ENSG00000110917	MLEC	0.122	0.121
mmu-miR-149-5p	ENSG00000111181	SLC6A12	0.272	0.272
mmu-miR-149-5p	ENSG00000111266	DUSP16	0.141	0.139
mmu-miR-149-5p	ENSG00000111269	CREBL2	0.421	0.245
mmu-miR-149-5p	ENSG00000111752	PHC1	0.074	0.074
