#miRNA	read_count	precursor	total	seq	seq(norm)
mmu-miR-19b-1-5p	0.00	mmu-mir-19b-1	0.00	0	0
mmu-miR-19b-2-5p	0.00	mmu-mir-19b-2	0.00	0	0
mmu-miR-19b-3p	0.00	mmu-mir-19b-2	0.00	0	0
mmu-miR-1a-1-5p	0.00	mmu-mir-1a-1	0.00	0	0
mmu-miR-1a-3p	0.00	mmu-mir-1a-1	0.00	0	0
mmu-miR-1a-3p	0.00	mmu-mir-1a-2	0.00	0	0
mmu-miR-1a-2-5p	0.00	mmu-mir-1a-2	0.00	0	0
mmu-miR-1b-5p	0.00	mmu-mir-1b	0.00	0	0
mmu-miR-1b-3p	0.00	mmu-mir-1b	0.00	0	0
mmu-miR-200a-5p	0.00	mmu-mir-200a	0.00	0	0
mmu-miR-200a-3p	0.00	mmu-mir-200a	0.00	0	0
mmu-miR-200b-5p	0.00	mmu-mir-200b	0.00	0	0
mmu-miR-200b-3p	0.00	mmu-mir-200b	0.00	0	0
mmu-miR-200c-5p	0.00	mmu-mir-200c	0.00	0	0
mmu-miR-200c-3p	0.00	mmu-mir-200c	0.00	0	0
mmu-miR-201-5p	0.00	mmu-mir-201	0.00	0	0
mmu-miR-201-3p	0.00	mmu-mir-201	0.00	0	0
mmu-miR-202-5p	0.00	mmu-mir-202	0.00	0	0
mmu-miR-202-3p	0.00	mmu-mir-202	0.00	0	0
mmu-miR-203-5p	0.00	mmu-mir-203	0.00	0	0
mmu-miR-203-3p	0.00	mmu-mir-203	0.00	0	0
mmu-miR-203b-5p	0.00	mmu-mir-203b	0.00	0	0
mmu-miR-203b-3p	0.00	mmu-mir-203b	0.00	0	0
mmu-miR-204-5p	0.00	mmu-mir-204	0.00	0	0
mmu-miR-204-3p	0.00	mmu-mir-204	0.00	0	0
mmu-miR-205-5p	0.00	mmu-mir-205	0.00	0	0
mmu-miR-205-3p	0.00	mmu-mir-205	0.00	0	0
mmu-miR-206-5p	0.00	mmu-mir-206	0.00	0	0
mmu-miR-206-3p	0.00	mmu-mir-206	0.00	0	0
mmu-miR-207	0.00	mmu-mir-207	0.00	0	0
mmu-miR-208a-5p	0.00	mmu-mir-208a	0.00	0	0
mmu-miR-208a-3p	0.00	mmu-mir-208a	0.00	0	0
mmu-miR-208b-5p	0.00	mmu-mir-208b	0.00	0	0
mmu-miR-208b-3p	0.00	mmu-mir-208b	0.00	0	0
mmu-miR-20a-5p	0.00	mmu-mir-20a	0.00	0	0
mmu-miR-20a-3p	0.00	mmu-mir-20a	0.00	0	0
mmu-miR-20b-5p	0.00	mmu-mir-20b	0.00	0	0
mmu-miR-20b-3p	0.00	mmu-mir-20b	0.00	0	0
mmu-miR-210-5p	0.00	mmu-mir-210	0.00	0	0
mmu-miR-210-3p	7.00	mmu-mir-210	7.00	7.00	2152.52
mmu-miR-211-5p	0.00	mmu-mir-211	0.00	0	0
mmu-miR-211-3p	0.00	mmu-mir-211	0.00	0	0
mmu-miR-212-5p	0.00	mmu-mir-212	0.00	0	0
mmu-miR-212-3p	0.00	mmu-mir-212	0.00	0	0
mmu-miR-2136	0.00	mmu-mir-2136	0.00	0	0
mmu-miR-2137	0.00	mmu-mir-2137	0.00	0	0
mmu-miR-2139	0.00	mmu-mir-2139	0.00	0	0
mmu-miR-214-5p	0.00	mmu-mir-214	0.00	0	0
mmu-miR-214-3p	66.00	mmu-mir-214	66.00	66.00	20295.20
mmu-miR-215-5p	0.00	mmu-mir-215	0.00	0	0
mmu-miR-215-3p	0.00	mmu-mir-215	0.00	0	0
mmu-miR-216a-5p	0.00	mmu-mir-216a	0.00	0	0
mmu-miR-216a-3p	0.00	mmu-mir-216a	0.00	0	0
mmu-miR-216b-5p	0.00	mmu-mir-216b	0.00	0	0
mmu-miR-216b-3p	0.00	mmu-mir-216b	0.00	0	0
mmu-miR-216c-5p	0.00	mmu-mir-216c	0.00	0	0
mmu-miR-216c-3p	0.00	mmu-mir-216c	0.00	0	0
mmu-miR-217-5p	0.00	mmu-mir-217	0.00	0	0
mmu-miR-217-3p	0.00	mmu-mir-217	0.00	0	0
mmu-miR-218-5p	2.00	mmu-mir-218-1	2.00	2.00	615.01
mmu-miR-218-1-3p	0.00	mmu-mir-218-1	0.00	0	0
mmu-miR-218-5p	2.00	mmu-mir-218-2	2.00	2.00	615.01
mmu-miR-218-2-3p	0.00	mmu-mir-218-2	0.00	0	0
mmu-miR-2183	0.00	mmu-mir-2183	0.00	0	0
mmu-miR-219a-5p	0.00	mmu-mir-219a-1	0.00	0	0
mmu-miR-219a-1-3p	0.00	mmu-mir-219a-1	0.00	0	0
mmu-miR-219a-5p	0.00	mmu-mir-219a-2	0.00	0	0
mmu-miR-219a-2-3p	0.00	mmu-mir-219a-2	0.00	0	0
mmu-miR-219b-5p	0.00	mmu-mir-219b	0.00	0	0
mmu-miR-219b-3p	0.00	mmu-mir-219b	0.00	0	0
mmu-miR-219c-5p	0.00	mmu-mir-219c	0.00	0	0
mmu-miR-219c-3p	0.00	mmu-mir-219c	0.00	0	0
mmu-miR-21a-5p	2.00	mmu-mir-21a	2.00	2.00	615.01
mmu-miR-21a-3p	0.00	mmu-mir-21a	0.00	0	0
mmu-miR-21b	0.00	mmu-mir-21b	0.00	0	0
mmu-miR-21c	0.00	mmu-mir-21c	0.00	0	0
mmu-miR-22-5p	0.00	mmu-mir-22	0.00	0	0
mmu-miR-22-3p	14.00	mmu-mir-22	14.00	14.00	4305.04
mmu-miR-221-5p	0.00	mmu-mir-221	0.00	0	0
mmu-miR-221-3p	0.00	mmu-mir-221	0.00	0	0
mmu-miR-222-5p	0.00	mmu-mir-222	0.00	0	0
mmu-miR-222-3p	0.00	mmu-mir-222	0.00	0	0
mmu-miR-223-5p	0.00	mmu-mir-223	0.00	0	0
mmu-miR-223-3p	0.00	mmu-mir-223	0.00	0	0
mmu-miR-224-5p	2.00	mmu-mir-224	2.00	2.00	615.01
mmu-miR-224-3p	0.00	mmu-mir-224	0.00	0	0
mmu-miR-23a-5p	0.00	mmu-mir-23a	0.00	0	0
mmu-miR-23a-3p	9.00	mmu-mir-23a	9.00	9.00	2767.53
mmu-miR-23b-5p	0.00	mmu-mir-23b	0.00	0	0
mmu-miR-23b-3p	3.00	mmu-mir-23b	3.00	3.00	922.51
mmu-miR-24-1-5p	0.00	mmu-mir-24-1	0.00	0	0
mmu-miR-24-3p	3.00	mmu-mir-24-1	3.00	3.00	922.51
mmu-miR-24-3p	3.00	mmu-mir-24-2	3.00	3.00	922.51
mmu-miR-24-2-5p	0.00	mmu-mir-24-2	0.00	0	0
mmu-miR-25-5p	0.00	mmu-mir-25	0.00	0	0
mmu-miR-25-3p	6.00	mmu-mir-25	6.00	6.00	1845.02
mmu-miR-26a-5p	29.00	mmu-mir-26a-1	29.00	29.00	8917.59
mmu-miR-26a-1-3p	0.00	mmu-mir-26a-1	0.00	0	0
mmu-miR-26a-5p	29.00	mmu-mir-26a-2	29.00	29.00	8917.59
mmu-miR-26a-2-3p	0.00	mmu-mir-26a-2	0.00	0	0
mmu-miR-26b-5p	3.00	mmu-mir-26b	3.00	3.00	922.51
mmu-miR-26b-3p	0.00	mmu-mir-26b	0.00	0	0
mmu-miR-27a-5p	0.00	mmu-mir-27a	0.00	0	0
mmu-miR-27a-3p	8.00	mmu-mir-27a	8.00	8.00	2460.02
mmu-miR-27b-5p	0.00	mmu-mir-27b	0.00	0	0
mmu-miR-27b-3p	16.00	mmu-mir-27b	16.00	16.00	4920.05
mmu-miR-2861	0.00	mmu-mir-2861	0.00	0	0
mmu-miR-28a-5p	0.00	mmu-mir-28a	0.00	0	0
mmu-miR-28a-3p	0.00	mmu-mir-28a	0.00	0	0
mmu-miR-28b	0.00	mmu-mir-28b	0.00	0	0
mmu-miR-28c	0.00	mmu-mir-28c	0.00	0	0
mmu-miR-290a-5p	0.00	mmu-mir-290a	0.00	0	0
mmu-miR-290a-3p	0.00	mmu-mir-290a	0.00	0	0
mmu-miR-290b-5p	0.00	mmu-mir-290b	0.00	0	0
mmu-miR-290b-3p	0.00	mmu-mir-290b	0.00	0	0
mmu-miR-291a-5p	0.00	mmu-mir-291a	0.00	0	0
mmu-miR-291a-3p	0.00	mmu-mir-291a	0.00	0	0
mmu-miR-291b-5p	0.00	mmu-mir-291b	0.00	0	0
mmu-miR-291b-3p	0.00	mmu-mir-291b	0.00	0	0
mmu-miR-292a-5p	0.00	mmu-mir-292a	0.00	0	0
mmu-miR-292a-3p	0.00	mmu-mir-292a	0.00	0	0
mmu-miR-292b-5p	0.00	mmu-mir-292b	0.00	0	0
mmu-miR-292b-3p	0.00	mmu-mir-292b	0.00	0	0
mmu-miR-293-5p	0.00	mmu-mir-293	0.00	0	0
mmu-miR-293-3p	0.00	mmu-mir-293	0.00	0	0
mmu-miR-294-5p	0.00	mmu-mir-294	0.00	0	0
mmu-miR-294-3p	0.00	mmu-mir-294	0.00	0	0
mmu-miR-295-5p	0.00	mmu-mir-295	0.00	0	0
mmu-miR-295-3p	0.00	mmu-mir-295	0.00	0	0
mmu-miR-296-5p	0.00	mmu-mir-296	0.00	0	0
mmu-miR-296-3p	8.00	mmu-mir-296	8.00	8.00	2460.02
mmu-miR-297a-5p	0.00	mmu-mir-297a-1	0.00	0	0
mmu-miR-297a-5p	0.00	mmu-mir-297a-2	0.00	0	0
mmu-miR-297a-5p	0.00	mmu-mir-297a-3	0.00	0	0
mmu-miR-297a-3p	0.00	mmu-mir-297a-3	0.00	0	0
mmu-miR-297a-5p	0.00	mmu-mir-297a-4	0.00	0	0
mmu-miR-297a-3p	0.00	mmu-mir-297a-4	0.00	0	0
mmu-miR-297b-5p	0.00	mmu-mir-297b	0.00	0	0
mmu-miR-297b-3p	0.00	mmu-mir-297b	0.00	0	0
mmu-miR-297c-5p	0.00	mmu-mir-297c	0.00	0	0
mmu-miR-297c-3p	0.00	mmu-mir-297c	0.00	0	0
mmu-miR-298-5p	2.00	mmu-mir-298	2.00	2.00	615.01
mmu-miR-298-3p	0.00	mmu-mir-298	0.00	0	0
mmu-miR-299a-5p	0.00	mmu-mir-299a	0.00	0	0
mmu-miR-299a-3p	0.00	mmu-mir-299a	0.00	0	0
mmu-miR-299b-5p	0.00	mmu-mir-299b	0.00	0	0
mmu-miR-299b-3p	0.00	mmu-mir-299b	0.00	0	0
mmu-miR-29a-5p	0.00	mmu-mir-29a	0.00	0	0
mmu-miR-29a-3p	6.00	mmu-mir-29a	6.00	6.00	1845.02
mmu-miR-29b-1-5p	0.00	mmu-mir-29b-1	0.00	0	0
mmu-miR-29b-3p	0.00	mmu-mir-29b-1	0.00	0	0
mmu-miR-29b-3p	0.00	mmu-mir-29b-2	0.00	0	0
mmu-miR-29b-2-5p	0.00	mmu-mir-29b-2	0.00	0	0
mmu-miR-29c-5p	0.00	mmu-mir-29c	0.00	0	0
mmu-miR-29c-3p	0.00	mmu-mir-29c	0.00	0	0
mmu-miR-300-5p	0.00	mmu-mir-300	0.00	0	0
mmu-miR-300-3p	0.00	mmu-mir-300	0.00	0	0
mmu-miR-301a-5p	0.00	mmu-mir-301a	0.00	0	0
mmu-miR-301a-3p	0.00	mmu-mir-301a	0.00	0	0
mmu-miR-301b-5p	0.00	mmu-mir-301b	0.00	0	0
mmu-miR-301b-3p	0.00	mmu-mir-301b	0.00	0	0
mmu-miR-302a-5p	0.00	mmu-mir-302a	0.00	0	0
mmu-miR-302a-3p	0.00	mmu-mir-302a	0.00	0	0
mmu-miR-302b-5p	0.00	mmu-mir-302b	0.00	0	0
mmu-miR-302b-3p	0.00	mmu-mir-302b	0.00	0	0
mmu-miR-302c-5p	0.00	mmu-mir-302c	0.00	0	0
mmu-miR-302c-3p	0.00	mmu-mir-302c	0.00	0	0
mmu-miR-302d-5p	0.00	mmu-mir-302d	0.00	0	0
mmu-miR-302d-3p	0.00	mmu-mir-302d	0.00	0	0
mmu-miR-3057-5p	0.00	mmu-mir-3057	0.00	0	0
mmu-miR-3057-3p	0.00	mmu-mir-3057	0.00	0	0
mmu-miR-3058-5p	0.00	mmu-mir-3058	0.00	0	0
mmu-miR-3058-3p	0.00	mmu-mir-3058	0.00	0	0
mmu-miR-3059-5p	0.00	mmu-mir-3059	0.00	0	0
mmu-miR-3059-3p	0.00	mmu-mir-3059	0.00	0	0
mmu-miR-3060-5p	0.00	mmu-mir-3060	0.00	0	0
mmu-miR-3060-3p	0.00	mmu-mir-3060	0.00	0	0
mmu-miR-3061-5p	0.00	mmu-mir-3061	0.00	0	0
mmu-miR-3061-3p	0.00	mmu-mir-3061	0.00	0	0
mmu-miR-3062-5p	0.00	mmu-mir-3062	0.00	0	0
mmu-miR-3062-3p	0.00	mmu-mir-3062	0.00	0	0
mmu-miR-3063-5p	0.00	mmu-mir-3063	0.00	0	0
mmu-miR-3063-3p	0.00	mmu-mir-3063	0.00	0	0
mmu-miR-3064-5p	0.00	mmu-mir-3064	0.00	0	0
mmu-miR-3064-3p	0.00	mmu-mir-3064	0.00	0	0
mmu-miR-3065-5p	0.00	mmu-mir-3065	0.00	0	0
mmu-miR-3065-3p	0.00	mmu-mir-3065	0.00	0	0
mmu-miR-3066-5p	0.00	mmu-mir-3066	0.00	0	0
mmu-miR-3066-3p	0.00	mmu-mir-3066	0.00	0	0
mmu-miR-3067-5p	0.00	mmu-mir-3067	0.00	0	0
mmu-miR-3067-3p	0.00	mmu-mir-3067	0.00	0	0
mmu-miR-3068-5p	0.00	mmu-mir-3068	0.00	0	0
mmu-miR-3068-3p	0.00	mmu-mir-3068	0.00	0	0
mmu-miR-3069-5p	0.00	mmu-mir-3069	0.00	0	0
mmu-miR-3069-3p	0.00	mmu-mir-3069	0.00	0	0
mmu-miR-3070-5p	0.00	mmu-mir-3070-1	0.00	0	0
mmu-miR-3070-3p	0.00	mmu-mir-3070-1	0.00	0	0
mmu-miR-3070-5p	0.00	mmu-mir-3070-2	0.00	0	0
mmu-miR-3070-2-3p	0.00	mmu-mir-3070-2	0.00	0	0
mmu-miR-3071-5p	0.00	mmu-mir-3071	0.00	0	0
mmu-miR-3071-3p	0.00	mmu-mir-3071	0.00	0	0
mmu-miR-3072-5p	0.00	mmu-mir-3072	0.00	0	0
mmu-miR-3072-3p	0.00	mmu-mir-3072	0.00	0	0
mmu-miR-3073a-5p	0.00	mmu-mir-3073a	0.00	0	0
mmu-miR-3073a-3p	0.00	mmu-mir-3073a	0.00	0	0
mmu-miR-3073b-5p	0.00	mmu-mir-3073b	0.00	0	0
mmu-miR-3073b-3p	0.00	mmu-mir-3073b	0.00	0	0
mmu-miR-3074-5p	0.00	mmu-mir-3074-1	0.00	0	0
mmu-miR-3074-1-3p	0.00	mmu-mir-3074-1	0.00	0	0
mmu-miR-3074-5p	0.00	mmu-mir-3074-2	0.00	0	0
mmu-miR-3074-2-3p	0.00	mmu-mir-3074-2	0.00	0	0
mmu-miR-3075-5p	0.00	mmu-mir-3075	0.00	0	0
mmu-miR-3075-3p	0.00	mmu-mir-3075	0.00	0	0
mmu-miR-3076-5p	0.00	mmu-mir-3076	0.00	0	0
mmu-miR-3076-3p	0.00	mmu-mir-3076	0.00	0	0
mmu-miR-3077-5p	0.00	mmu-mir-3077	0.00	0	0
mmu-miR-3077-3p	0.00	mmu-mir-3077	0.00	0	0
mmu-miR-3078-5p	0.00	mmu-mir-3078	0.00	0	0
mmu-miR-3078-3p	0.00	mmu-mir-3078	0.00	0	0
mmu-miR-3079-5p	0.00	mmu-mir-3079	0.00	0	0
mmu-miR-3079-3p	0.00	mmu-mir-3079	0.00	0	0
mmu-miR-3080-5p	0.00	mmu-mir-3080	0.00	0	0
mmu-miR-3080-3p	0.00	mmu-mir-3080	0.00	0	0
mmu-miR-3081-5p	0.00	mmu-mir-3081	0.00	0	0
mmu-miR-3081-3p	0.00	mmu-mir-3081	0.00	0	0
mmu-miR-3082-5p	0.00	mmu-mir-3082	0.00	0	0
mmu-miR-3082-3p	0.00	mmu-mir-3082	0.00	0	0
mmu-miR-3083-5p	0.00	mmu-mir-3083	0.00	0	0
mmu-miR-3083-3p	0.00	mmu-mir-3083	0.00	0	0
mmu-miR-3083b-5p	0.00	mmu-mir-3083b	0.00	0	0
mmu-miR-3083b-3p	0.00	mmu-mir-3083b	0.00	0	0
mmu-miR-3084-5p	0.00	mmu-mir-3084-1	0.00	0	0
mmu-miR-3084-3p	0.00	mmu-mir-3084-1	0.00	0	0
mmu-miR-3084-5p	0.00	mmu-mir-3084-2	0.00	0	0
mmu-miR-3084-3p	0.00	mmu-mir-3084-2	0.00	0	0
mmu-miR-3085-5p	0.00	mmu-mir-3085	0.00	0	0
mmu-miR-3085-3p	0.00	mmu-mir-3085	0.00	0	0
mmu-miR-3086-5p	0.00	mmu-mir-3086	0.00	0	0
mmu-miR-3086-3p	0.00	mmu-mir-3086	0.00	0	0
mmu-miR-3087-5p	0.00	mmu-mir-3087	0.00	0	0
mmu-miR-3087-3p	0.00	mmu-mir-3087	0.00	0	0
mmu-miR-3088-5p	0.00	mmu-mir-3088	0.00	0	0
mmu-miR-3088-3p	0.00	mmu-mir-3088	0.00	0	0
mmu-miR-3089-5p	0.00	mmu-mir-3089	0.00	0	0
mmu-miR-3089-3p	0.00	mmu-mir-3089	0.00	0	0
mmu-miR-3090-5p	0.00	mmu-mir-3090	0.00	0	0
mmu-miR-3090-3p	0.00	mmu-mir-3090	0.00	0	0
mmu-miR-3091-5p	0.00	mmu-mir-3091	0.00	0	0
mmu-miR-3091-3p	0.00	mmu-mir-3091	0.00	0	0
mmu-miR-3092-5p	0.00	mmu-mir-3092	0.00	0	0
mmu-miR-3092-3p	0.00	mmu-mir-3092	0.00	0	0
mmu-miR-3093-5p	0.00	mmu-mir-3093	0.00	0	0
mmu-miR-3093-3p	0.00	mmu-mir-3093	0.00	0	0
mmu-miR-3094-5p	0.00	mmu-mir-3094	0.00	0	0
mmu-miR-3094-3p	0.00	mmu-mir-3094	0.00	0	0
mmu-miR-3095-5p	0.00	mmu-mir-3095	0.00	0	0
mmu-miR-3095-3p	0.00	mmu-mir-3095	0.00	0	0
mmu-miR-3097-5p	0.00	mmu-mir-3097	0.00	0	0
mmu-miR-3097-3p	0.00	mmu-mir-3097	0.00	0	0
mmu-miR-3098-5p	0.00	mmu-mir-3098	0.00	0	0
mmu-miR-3098-3p	0.00	mmu-mir-3098	0.00	0	0
mmu-miR-3099-5p	0.00	mmu-mir-3099	0.00	0	0
mmu-miR-3099-3p	0.00	mmu-mir-3099	0.00	0	0
mmu-miR-30a-5p	0.00	mmu-mir-30a	0.00	0	0
mmu-miR-30a-3p	0.00	mmu-mir-30a	0.00	0	0
mmu-miR-30b-5p	1.00	mmu-mir-30b	1.00	1.00	307.50
mmu-miR-30b-3p	0.00	mmu-mir-30b	0.00	0	0
mmu-miR-30c-5p	1.00	mmu-mir-30c-1	1.00	1.00	307.50
mmu-miR-30c-1-3p	0.00	mmu-mir-30c-1	0.00	0	0
mmu-miR-30c-5p	1.00	mmu-mir-30c-2	1.00	1.00	307.50
mmu-miR-30c-2-3p	0.00	mmu-mir-30c-2	0.00	0	0
mmu-miR-30d-5p	17.00	mmu-mir-30d	17.00	17.00	5227.55
mmu-miR-30d-3p	0.00	mmu-mir-30d	0.00	0	0
mmu-miR-30e-5p	3.00	mmu-mir-30e	3.00	3.00	922.51
mmu-miR-30e-3p	0.00	mmu-mir-30e	0.00	0	0
mmu-miR-30f	0.00	mmu-mir-30f	0.00	0	0
mmu-miR-31-5p	0.00	mmu-mir-31	0.00	0	0
mmu-miR-31-3p	0.00	mmu-mir-31	0.00	0	0
mmu-miR-3100-5p	0.00	mmu-mir-3100	0.00	0	0
mmu-miR-3100-3p	0.00	mmu-mir-3100	0.00	0	0
mmu-miR-3101-5p	0.00	mmu-mir-3101	0.00	0	0
mmu-miR-3101-3p	0.00	mmu-mir-3101	0.00	0	0
mmu-miR-3102-5p	0.00	mmu-mir-3102	0.00	0	0
mmu-miR-3102-5p.2-5p	0.00	mmu-mir-3102	0.00	0	0
mmu-miR-3102-3p.2-3p	0.00	mmu-mir-3102	0.00	0	0
mmu-miR-3102-3p	0.00	mmu-mir-3102	0.00	0	0
mmu-miR-3103-5p	0.00	mmu-mir-3103	0.00	0	0
mmu-miR-3103-3p	0.00	mmu-mir-3103	0.00	0	0
mmu-miR-3104-5p	0.00	mmu-mir-3104	0.00	0	0
mmu-miR-3104-3p	0.00	mmu-mir-3104	0.00	0	0
mmu-miR-3105-5p	0.00	mmu-mir-3105	0.00	0	0
mmu-miR-3105-3p	0.00	mmu-mir-3105	0.00	0	0
mmu-miR-3106-5p	0.00	mmu-mir-3106	0.00	0	0
mmu-miR-3106-3p	0.00	mmu-mir-3106	0.00	0	0
mmu-miR-3108-5p	0.00	mmu-mir-3108	0.00	0	0
mmu-miR-3108-3p	0.00	mmu-mir-3108	0.00	0	0
mmu-miR-3109-5p	0.00	mmu-mir-3109	0.00	0	0
mmu-miR-3109-3p	0.00	mmu-mir-3109	0.00	0	0
mmu-miR-3110-5p	0.00	mmu-mir-3110	0.00	0	0
mmu-miR-3110-3p	0.00	mmu-mir-3110	0.00	0	0
mmu-miR-3112-5p	0.00	mmu-mir-3112	0.00	0	0
mmu-miR-3112-3p	0.00	mmu-mir-3112	0.00	0	0
mmu-miR-3113-5p	0.00	mmu-mir-3113	0.00	0	0
mmu-miR-3113-3p	0.00	mmu-mir-3113	0.00	0	0
mmu-miR-3154	0.00	mmu-mir-3154	0.00	0	0
mmu-miR-32-5p	0.00	mmu-mir-32	0.00	0	0
mmu-miR-32-3p	0.00	mmu-mir-32	0.00	0	0
mmu-miR-320-5p	0.00	mmu-mir-320	0.00	0	0
mmu-miR-320-3p	5.00	mmu-mir-320	5.00	5.00	1537.52
mmu-miR-322-5p	1.00	mmu-mir-322	1.00	1.00	307.50
mmu-miR-322-3p	4.00	mmu-mir-322	4.00	4.00	1230.01
mmu-miR-323-5p	0.00	mmu-mir-323	0.00	0	0
mmu-miR-323-3p	0.00	mmu-mir-323	0.00	0	0
mmu-miR-324-5p	0.00	mmu-mir-324	0.00	0	0
mmu-miR-324-3p	0.00	mmu-mir-324	0.00	0	0
mmu-miR-325-5p	0.00	mmu-mir-325	0.00	0	0
mmu-miR-325-3p	0.00	mmu-mir-325	0.00	0	0
mmu-miR-326-5p	0.00	mmu-mir-326	0.00	0	0
mmu-miR-326-3p	0.00	mmu-mir-326	0.00	0	0
mmu-miR-327	0.00	mmu-mir-327	0.00	0	0
mmu-miR-328-5p	0.00	mmu-mir-328	0.00	0	0
mmu-miR-328-3p	2.00	mmu-mir-328	2.00	2.00	615.01
mmu-miR-329-5p	0.00	mmu-mir-329	0.00	0	0
mmu-miR-329-3p	0.00	mmu-mir-329	0.00	0	0
mmu-miR-33-5p	0.00	mmu-mir-33	0.00	0	0
mmu-miR-33-3p	0.00	mmu-mir-33	0.00	0	0
mmu-miR-330-5p	0.00	mmu-mir-330	0.00	0	0
mmu-miR-330-3p	0.00	mmu-mir-330	0.00	0	0
mmu-miR-331-5p	0.00	mmu-mir-331	0.00	0	0
mmu-miR-331-3p	0.00	mmu-mir-331	0.00	0	0
mmu-miR-335-5p	0.00	mmu-mir-335	0.00	0	0
mmu-miR-335-3p	0.00	mmu-mir-335	0.00	0	0
mmu-miR-337-5p	0.00	mmu-mir-337	0.00	0	0
mmu-miR-337-3p	0.00	mmu-mir-337	0.00	0	0
mmu-miR-338-5p	0.00	mmu-mir-338	0.00	0	0
mmu-miR-338-3p	0.00	mmu-mir-338	0.00	0	0
mmu-miR-339-5p	0.00	mmu-mir-339	0.00	0	0
mmu-miR-339-3p	0.00	mmu-mir-339	0.00	0	0
mmu-miR-340-5p	0.00	mmu-mir-340	0.00	0	0
mmu-miR-340-3p	0.00	mmu-mir-340	0.00	0	0
mmu-miR-341-5p	0.00	mmu-mir-341	0.00	0	0
mmu-miR-341-3p	0.00	mmu-mir-341	0.00	0	0
mmu-miR-342-5p	3.00	mmu-mir-342	3.00	3.00	922.51
mmu-miR-342-3p	4.00	mmu-mir-342	4.00	4.00	1230.01
mmu-miR-343	0.00	mmu-mir-343	0.00	0	0
mmu-miR-344-5p	0.00	mmu-mir-344-1	0.00	0	0
mmu-miR-344-3p	0.00	mmu-mir-344-1	0.00	0	0
mmu-miR-344-5p	0.00	mmu-mir-344-2	0.00	0	0
mmu-miR-344-3p	0.00	mmu-mir-344-2	0.00	0	0
mmu-miR-344b-5p	0.00	mmu-mir-344b	0.00	0	0
mmu-miR-344b-3p	0.00	mmu-mir-344b	0.00	0	0
mmu-miR-344c-5p	0.00	mmu-mir-344c	0.00	0	0
mmu-miR-344c-3p	0.00	mmu-mir-344c	0.00	0	0
mmu-miR-344d-3p	0.00	mmu-mir-344d-1	0.00	0	0
mmu-miR-344d-1-5p	0.00	mmu-mir-344d-1	0.00	0	0
mmu-miR-344d-3p	0.00	mmu-mir-344d-2	0.00	0	0
mmu-miR-344d-2-5p	0.00	mmu-mir-344d-2	0.00	0	0
mmu-miR-344d-3-5p	0.00	mmu-mir-344d-3	0.00	0	0
mmu-miR-344d-3p	0.00	mmu-mir-344d-3	0.00	0	0
mmu-miR-344e-5p	0.00	mmu-mir-344e	0.00	0	0
mmu-miR-344e-3p	0.00	mmu-mir-344e	0.00	0	0
mmu-miR-344f-5p	0.00	mmu-mir-344f	0.00	0	0
mmu-miR-344f-3p	0.00	mmu-mir-344f	0.00	0	0
mmu-miR-344g-5p	0.00	mmu-mir-344g	0.00	0	0
mmu-miR-344g-3p	0.00	mmu-mir-344g	0.00	0	0
mmu-miR-344h-5p	0.00	mmu-mir-344h-1	0.00	0	0
mmu-miR-344h-3p	0.00	mmu-mir-344h-1	0.00	0	0
mmu-miR-344h-5p	0.00	mmu-mir-344h-2	0.00	0	0
mmu-miR-344h-3p	0.00	mmu-mir-344h-2	0.00	0	0
mmu-miR-344i	0.00	mmu-mir-344i	0.00	0	0
mmu-miR-345-5p	0.00	mmu-mir-345	0.00	0	0
mmu-miR-345-3p	0.00	mmu-mir-345	0.00	0	0
mmu-miR-346-5p	0.00	mmu-mir-346	0.00	0	0
mmu-miR-346-3p	0.00	mmu-mir-346	0.00	0	0
mmu-miR-3470a	0.00	mmu-mir-3470a	0.00	0	0
mmu-miR-3470b	0.00	mmu-mir-3470b	0.00	0	0
mmu-miR-3471	0.00	mmu-mir-3471-1	0.00	0	0
mmu-miR-3471	0.00	mmu-mir-3471-2	0.00	0	0
mmu-miR-3472	0.00	mmu-mir-3472	0.00	0	0
mmu-miR-3473a	0.00	mmu-mir-3473a	0.00	0	0
mmu-miR-3473b	1.00	mmu-mir-3473b	1.00	1.00	307.50
mmu-miR-3473c	0.00	mmu-mir-3473c	0.00	0	0
mmu-miR-3473d	0.00	mmu-mir-3473d	0.00	0	0
mmu-miR-3473e	0.00	mmu-mir-3473e	0.00	0	0
mmu-miR-3473f	0.00	mmu-mir-3473f	0.00	0	0
mmu-miR-3473g	0.00	mmu-mir-3473g	0.00	0	0
mmu-miR-3473h-5p	0.00	mmu-mir-3473h	0.00	0	0
mmu-miR-3474	0.00	mmu-mir-3474	0.00	0	0
mmu-miR-3475-5p	0.00	mmu-mir-3475	0.00	0	0
mmu-miR-3475-3p	0.00	mmu-mir-3475	0.00	0	0
mmu-miR-34a-5p	0.00	mmu-mir-34a	0.00	0	0
mmu-miR-34a-3p	0.00	mmu-mir-34a	0.00	0	0
mmu-miR-34b-5p	0.00	mmu-mir-34b	0.00	0	0
mmu-miR-34b-3p	0.00	mmu-mir-34b	0.00	0	0
mmu-miR-34c-5p	0.00	mmu-mir-34c	0.00	0	0
mmu-miR-34c-3p	0.00	mmu-mir-34c	0.00	0	0
mmu-miR-350-5p	0.00	mmu-mir-350	0.00	0	0
